order_id,customer_id,region,order_date,product,category,quantity,unit_price
1001,C001,North,2024-01-03,Laptop,Electronics,2,800
1002,C002,West,2024-01-04,Tablet,Electronics,1,400
1003,C003,East,2024-01-07,Chair,Furniture,4,150
1004,C002,West,2024-01-08,Desk,Furniture,2,300
1005,C004,North,2024-01-10,Headphones,Electronics,3,100
1006,C005,South,2024-01-11,Monitor,Electronics,2,200
1007,C006,East,2024-01-12,Bookshelf,Furniture,1,250
1008,C001,North,2024-01-14,Mouse,Electronics,5,25
1009,C003,East,2024-01-15,Keyboard,Electronics,2,50
1010,C007,South,2024-01-16,Printer,Electronics,1,150
